department,faculty,sponsor,title

American Studies,Richard Longstreth,National Park Service,Institute for the Study of Preservation and Sustainability Policy
Anthropology,Jeffrey Blomster,National Science Foundation (NSF),"Socio-political Complexity, Interaction, and Community Ritual at Formative Etlatongo, Oaxaca, Mexico"
Anthropology,Stephen Lubkemann,The Carter Center,
Anthropology,Stephen Lubkemann,International Development Research Center,Diaspora Impact on the Capacity for Recovery from Conflict and Crisis - A Liberian Case Study
Anthropology,Brian Richmond,National Science Foundation,"Hominin Footprints, Fossils, and Their Context in the Early Pleistocene of Koobi Fora, Kenya"
Anthropology,Brian Richmond,Leakey Foundation,Fossil Footprint and the Dynamics of Footprint Formation
Anthropology,Brian Richmond,Evolving Earth Foundation,"A Snapshot of the Anatomy, Locomotion and Social Behavior of Early Modern Humans as Evidenced by Fossil Footprints"
Anthropology,Shannon McFarlin,National Science Foundation,Mineralized tissue research on the life history of Virunga mountain gorillas
Anthropology,Carson Murray,National Institutes of Health (NIH),How Maternal Stress Influences Offspring Health &amp; Development in Wild Chimpanzees
Anthropology,Chet Sherwood,NIH and Agnes Scott College,Hemispheric Specialization &amp; Communication
Anthropology,Chet Sherwood,James S. McDonnell Foundation,Discovering the Evolved Human Brain Phenotype
Art Therapy,Elizabeth Warson,Studio Kinection,Graphic Novel Authoring Tool Phase 1: A Soldier's Story
Biological Sciences,Gustavo Hormiga,National Science Foundation,Collaborative Research: ARTS: Taxonomy and systematics of selected Neotropical clades of arachnids
Biological Sciences,John Lill,NSF,Priority Effects in the Establishment of the Oak Leaf Tie Community
Biological Sciences,Scott Powell,University of Missouri - St. Louis,"Ecological and Evolutionary Impacts of Ecosystem Engineering: Wood-boring Beetles, Arboreal Ants, and Trophic Interaction in Brazilian Cerrado"
Chemistry,Chris Cahill,U.S. Nuclear Regulatory Commission,"The Science of Nuclear Materials: Development of a Modular, Laboratory-based Curriculum to Explore the Properties of Nuclear Materials"
Chemistry,Houston Miller,NSF,EAGER: Raman Analysis of Thermophoretically Sampled Soot Particulate
Chemistry,Stuart Licht,Siemens Corporation,STEP: The Solar Thermal Electrochemical Production of energetic molecules
Chemistry,Stuart Licht,Pohang Iron &amp; Steel Co,STEP Iron: A Breakthrough in the Electrolysis of Iron Ore
